index,given_label,given_label_name,prob_human,prob_machine,quality_score,flagged,text_snippet
0,0,human,1.0,0.0,1.0,False,Amakhansela kumele azise abantu ezigcemeni zabo ngokubamba imihlangano. Bonke abathintekayo nabanentshisekelo mabamenywe
1,1,machine,0.0,1.0,1.0,False,"Ngokuhambisana neMigomo Emisha Yokuphatha Nokuthuthukisa, phakathi neminyaka eyi-12 yokuqala kuhulumeni wenkululeko, sig"
2,0,human,1.0,0.0,1.0,False,Uma kukuningi akhubazeke kuko beka uphawu luka X kuzona zonke. Kungabe ukukhubazeka kuyakukhubaza ekwenzeni imisebenzi y
3,1,machine,0.0,1.0,1.0,False,"UJane uthi... Ngaphezu kwesikhathi kufanele simise futhi sizibuze ukuthi senzeni. Uma sifuna ukuthola impendulo ecacile,"
4,0,human,1.0,0.0,1.0,False,"UMthethosivivinywa owemukelwe nguMkhandlu kaZwelonke ngokwesigaba(c), kufanele uyiswe kuMongameli ukuze uthole imvume. u"
5,1,machine,0.0,1.0,1.0,False,"Lolu suku olukhulu luzosiza ukuba amaKaizer Chiefs aqhubeke nokuduma, abakhona, azikhumbuze, nabalandeli baphinde baqond"
6,0,human,1.0,0.0,1.0,False,"Ukuxhunyaniswa namanye ama-website angaphandle, nakho kukhonjisiwe ngamagama athi 'ukuxhunyaniswa kwangaphandle - kuvula"
7,0,human,1.0,0.0,1.0,False,Uma imibhalo yengodla yokulondoloza amathuluzi okuhweba ishayisana naleyo yobambe iqhaza mayelana namathuluzi alondolozw
8,1,machine,0.0,1.0,1.0,False,Isikhungo sakho simemelwa ukuthumela abezindaba ukuze baphathe le m evento. Abasebenzi bezwe bathi baphoqelekile ukuba b
9,1,machine,0.0,1.0,1.0,False,"Ukwakhiwa kokwakhiwa kwezikhumbuzo zomphakathi, ulwazi olunembile nolufanele, kuhumusha impumelelo yeqembu, okubuyisela "
10,0,human,1.0,0.0,1.0,False,"Inqubo yokubuyekezwa kwe- IDP yahlonza ezokuxhumna njengomkhakha odinga ukunakwa, ingakho- ke kusungulwe uPhiko lukaMasi"
11,0,human,1.0,0.0,1.0,False,"Ukulangazelela kanye nochuku yikho okwaholela ukuhlasela kwamazwe abusa amanye izindawo ezinkulu zomhlaba eAsia, e-Afric"
12,0,human,1.0,0.0,1.0,False,Phola e Champagne Lounge noma endaweni yokulinda isidlo sasemini lapho uthola khona i French Champagne namawayini asekha
13,1,machine,0.0,1.0,1.0,False,"Imifula emine emikhulu eNingizimu Afrika ihlukaniswe namanye amazwe, okwenza ukuphathwa kwezinsiza zamanzi kube umsebenz"
14,0,human,1.0,0.0,1.0,False,Ephakamisa isincomo sokungenziwa ukulungisa kulandela uphenyo lwangaphambili oluqaliswe yiHhovisi ngezigameko zokunganel
