human_idx,machine_idx,jaccard_similarity,human_snippet,machine_snippet
4252,6795,0.4844,Ekulimeni kukhona amathuba amaningi ukuqamba amanga nokwenza izinto ezimbi. Cabanga ngabantu ababoleka imali kodwa abayi,"Ekwenzeni okungalungile, kukhona amathuba amaningi okukhuluma amanga nokwenza izinto ezimbi. Cabanga ngababolekayo imali"
5760,7510,0.4688,"Lolu uhlelo lwamavolontiya azolwa nobugebengu emphakathini, azombandakanya amavolontiya aphuma emiphakathini ukwehlisa i","Lolu hlelo lusiza ukuhlanganisa umgudu phakathi kobugebengu nokwesaba izenzo zobugebengu. Kuze kube manje, sinezivolonti"
4816,3363,0.4375,Ithimba elisha labaphathi lizosebenzela phezu kwesisekelo esesibekiwe ukuze umsebenzi wezempilo ubekwe ezingeni eliphezu,"Kulo nyaka sizokwakha uhlelo lokuguqula izinsizakalo zezempilo, iHealth Service Transformation Plan, esizosebenza kuyo k"
7573,3393,0.4141,Uma sizivocavoca ndawonye lokho kuzosiza ekutheni sikhuthazane ngabanye. Pic. Ngizoqala ngokuchaza ukuthi kwenzekani emz,Ngizokwenza ngokuchaza okwenzekayo emzimbeni wakho uma uzivocavoca nokuthi ukuzivocavoca kungakusiza kanjani. Uma uzivoc
826,7325,0.4141,Sizo hlala njalo sigwema ukuziphatha ngendlela ezokwenza siphule umthetho. Sizohlala njalo sivikele abantu abahlala eNin,Sizohlale sigwema ukuziphatha ngendlela ezosiholela ekwephuleni umthetho. Sizohlale sivikela abantu abahlala eNingizimu 
5635,4060,0.3828,Isikhathi sokuvuna siyasondela futhi kusekhona amasimu amaningi agcwele ngokhula. Ukuxoxa kwethu njalo kuyabuyela lokhu:,Isikhathi sokuvuna siseduze futhi kusekhona izinkambu eziningi ezigcwele izihlahla. Izingxoxo zethu zihlala zibuyela kul
7309,2144,0.3828,"Imithetho eyahlukene ebhalwe kuSheduli -1 yoMthetho owengamele uMnyango wezeNtela wase-Ningizimu Afrika, we-1997. o noma","Ukuhlanganisa intela; kanye nokulawula ukungena kwemikhiqizo ezweni, ethunyelwa ezweni, ekhiqizwa, ethunyelwa, igcinwa, "
4816,7929,0.375,Ithimba elisha labaphathi lizosebenzela phezu kwesisekelo esesibekiwe ukuze umsebenzi wezempilo ubekwe ezingeni eliphezu,"Kulonyaka sizokwakha uhlelo lokuguqula insizakalo yezempilo, i-Health Service Transformation Plan, esizosebenza kuyo kuz"
1087,2144,0.3594,"o noma imuphi umthethomgomo, umthetho-saziso, isaziso sikahulumeni kumbe isiyalelo esikhishwe ngokuhambisana nale mithet","Ukuhlanganisa intela; kanye nokulawula ukungena kwemikhiqizo ezweni, ethunyelwa ezweni, ekhiqizwa, ethunyelwa, igcinwa, "
7309,1432,0.3594,"Imithetho eyahlukene ebhalwe kuSheduli -1 yoMthetho owengamele uMnyango wezeNtela wase-Ningizimu Afrika, we-1997. o noma","Umthetho wokuhlanganisa intela ngenani, ka-1991. Imithetho ehlukene ebhalwe kuSheduli 1 yomthetho ophatha i-South Africa"
1483,2144,0.3516,"UMthetho owengamele ukuqoqwa kweNtela lapho kuDluliswa ubumnini beZakhiwo ka1949. o noma imuphi umthetho-mgomo, umthetho","Ukuhlanganisa intela; kanye nokulawula ukungena kwemikhiqizo ezweni, ethunyelwa ezweni, ekhiqizwa, ethunyelwa, igcinwa, "
7472,7755,0.3516,c kumele ihlinzekele ukubuyekezwa kwezezimali ngezikhathi ezinqunyiwe kubhekwe indlela esetshenziswayo; futhi d ihlinzek,c kumele ihlinzeke ngokuqhathaniswa kwezimali ngezikhathi ezichaziwe mayelana nendlela esetshenziswe; futhi d ihlinzeke 
1087,1432,0.3438,"o noma imuphi umthethomgomo, umthetho-saziso, isaziso sikahulumeni kumbe isiyalelo esikhishwe ngokuhambisana nale mithet","Umthetho wokuhlanganisa intela ngenani, ka-1991. Imithetho ehlukene ebhalwe kuSheduli 1 yomthetho ophatha i-South Africa"
264,4393,0.3359,Iphrogramu Lokuthuthukisa Abalimi liqonde ukusekela lawo malunga aphumelele phambili ehlelweni lweziqumbi zokufunda. Lab,Uhlelo Lokuthuthukiswa Kwabalimi luhloselwe ukusiza labo balimi abaphumelele ekufundeni. Lezi zinkampani zidinga usizo n
1483,1432,0.3359,"UMthetho owengamele ukuqoqwa kweNtela lapho kuDluliswa ubumnini beZakhiwo ka1949. o noma imuphi umthetho-mgomo, umthetho","Umthetho wokuhlanganisa intela ngenani, ka-1991. Imithetho ehlukene ebhalwe kuSheduli 1 yomthetho ophatha i-South Africa"
4124,2144,0.3359,"o noma imuphi umthetho-mgomo, umthetho-saziso, isaziso sika-hulumeni kumbe isiyalelo esikhishwe ngokuhambisana nalemithe","Ukuhlanganisa intela; kanye nokulawula ukungena kwemikhiqizo ezweni, ethunyelwa ezweni, ekhiqizwa, ethunyelwa, igcinwa, "
4124,1432,0.3281,"o noma imuphi umthetho-mgomo, umthetho-saziso, isaziso sika-hulumeni kumbe isiyalelo esikhishwe ngokuhambisana nalemithe","Umthetho wokuhlanganisa intela ngenani, ka-1991. Imithetho ehlukene ebhalwe kuSheduli 1 yomthetho ophatha i-South Africa"
6677,6417,0.2812,Lokhu kudala ingozi ezitshalweni zokudla ngoba kuvimba ukumila kahle kwezitshalo bese inani lomvuno liyehla. Lokhu ukunc,Kungani kubalulekile ukuphatha (ukubulala) izihlahla eziphikisanayo? Izihlahla eziphikisanayo ziphikisana nezitshalo zok
4555,7670,0.2578,"Ngaphezu kwakho konke, ngimi phambi kwenu ngokuziqhenya nesibindi sokuthi le-Ningizimu Afrika esiyigubhayo namhlanje imi",Phakathi kwabo kukhona abantu baseNingizimu Afrika abahlonishwa kakhulu ababezingxenye zePhalamende lethu ngaphansi koku
7089,2278,0.2031,Isigaba sokuphathwa kokufakelela sibhekene nokusungula iminikelo yokwahlukaniseka kwamabhrendi kanye nokuthengisa imikhi,"Lokhu kuhlanganisa ukufundisa abazali ngezindlela zokunakekela izingane zabo, kanye nokubasiza ukuthi baqonde izidingo z"
6894,7709,0.1484,ILayisense yobuSakazi beMiphakathi inenhloso yokuhlangabezana nezidingo zobusakazi kumphakathi ukufinyelela kwiminyaka e,Ezokudoba: Umcimbi Wokukhulisa Imiphakathi Nokuqinisa Ubudlelwano Ezokudoba zidlala indima ebalulekile empilweni yomphak
6020,6787,0.1484,"Loluhlelo lugcizelela ukubaluleka kweqhaza labahlukumezekile, imindeni namalunga omphakathi ngokubenza babe yingxenye yo","Umbikweni Ngobuhlakani Bokwenziwa EZwe lanamuhla, sithokozisa umcimbi okhethekile obuhlanganisa izinkanyezi zothando nez"
5635,4318,0.1406,Isikhathi sokuvuna siyasondela futhi kusekhona amasimu amaningi agcwele ngokhula. Ukuxoxa kwethu njalo kuyabuyela lokhu:,"Umthetho uthi abanikazi bomhlaba kufanele bathole imali efanele, okuyi-‘just compensation’, uma umhlaba wabo uthathwa. N"
6020,5561,0.1406,"Loluhlelo lugcizelela ukubaluleka kweqhaza labahlukumezekile, imindeni namalunga omphakathi ngokubenza babe yingxenye yo","Ngenxa yokudubula, abesifazane ababili ababejolile kuphela balimala, kanti omunye umsolwa udubuliwe enyameni. Awukwazi u"
7465,4727,0.1406,"Ngingathanda ukunamukela, uma kunokungabaza, ukuba niyivule njengoba nenza njengamanje. Amaphoyisa e-SAPS asiza izinkamp","Lokhu kusebenza ikakhulukazi kwabantu abasha, okukhuthaza ukuthola amandla okuba neqhaza ezinqumweni zomphakathi. Ngakho"
5254,2993,0.1094,Akuvunyelwe muntu ukuthi athamele imihlangano yekomidi ukuzobheka nje ngaphandle kokuthi kuvunyelwene ngokwenhloso yokuq,"Ukuhlinzeka ngokuqhamuka, ukuveza, nokusebenzisa impahla yezenzakalo zezilwane ngaphezu kwabanye ukuze kuthuthukiswe uku"
